,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PrePole
80,4846,-95.06290537,29.12668184,,,2,167.363341,POINT (-10582354.21911755 3391779.696307302),0.04
81,4848,-95.06212042,29.12719617,,,2,170.0677706,POINT (-10582266.838883253 3391845.2396443607),0.04
82,4851,-95.06138518,29.12768142,,,2,169.0930324,POINT (-10582184.992340842 3391907.077489515),0.04
83,4853,-95.06060897,29.1281956,,,2,169.8231198,POINT (-10582098.585038895 3391972.6023483467),0.04
84,4860,-95.05986722,29.12868726,,,2,169.9207951,POINT (-10582016.013806598 3392035.25766296),0.04
85,4863,-95.05909005,29.12918532,,,2,166.7626976,POINT (-10581929.499637937 3392098.7288751584),0.04
86,5188,-94.97439365,29.18221382,,,2,160.3071309,POINT (-10572501.139517915 3398858.2760623577),0.04
87,5195,-94.97265507,29.18319401,,,2,40.71531554,POINT (-10572307.601677611 3398983.253828156),0.04
88,5201,-94.97067277,29.18440546,,,2,142.5368887,POINT (-10572086.93305101 3399137.7197292894),0.04
89,5204,-94.97001569,29.18487411,,,2,136.5338714,POINT (-10572013.78724 3399197.475424826),0.04
90,5207,-94.96929584,29.18540084,,,2,136.5671884,POINT (-10571933.653904555 3399264.6369957556),0.04
91,5211,-94.96863638,29.18597064,,,2,122.5131907,POINT (-10571860.243153157 3399337.2906658575),0.04
92,5214,-94.96803231,29.18659522,,,2,102.3561665,POINT (-10571792.998388352 3399416.929650512),0.04
93,5217,-94.9674671,29.18725922,,,2,88.56787919,POINT (-10571730.07949896 3399501.595534724),0.04
94,5218,-94.96693574,29.18796246,,,2,119.0547264,POINT (-10571670.928774333 3399591.2654642994),0.04
95,5219,-94.9664079,29.18864532,,,2,122.7147981,POINT (-10571612.169894312 3399678.337334285),0.04
96,5220,-94.96584402,29.18939578,,,2,129.6006054,POINT (-10571549.399059843 3399774.029587643),0.04
97,5221,-94.96525395,29.19005155,,,2,135.9666194,POINT (-10571483.712767912 3399857.6483537047),0.04
98,5222,-94.96463154,29.19065771,,,2,145.6076644,POINT (-10571414.426403647 3399934.94170818),0.04
99,5223,-94.96395419,29.19122347,,,2,118.8464033,POINT (-10571339.024146557 3400007.083944678),0.04
100,5225,-94.96321711,29.19174943,,,2,83.03470649,POINT (-10571256.972776284 3400074.151486865),0.04
101,5434,-94.88633673,29.2408447,,,2,62.80911804,POINT (-10562698.68802269 3406336.0275748787),0.04
102,5435,-94.88680129,29.24063824,,,2,95.46934806,POINT (-10562750.402605332 3406309.6882650075),0.04
103,5453,-94.87456547,29.24629005,,,2,11.99861466,POINT (-10561388.317353494 3407030.7419093936),0.04
104,5455,-94.87526133,29.24753309,,,2,51.18873157,POINT (-10561465.78013436 3407189.3333549625),0.04
105,5456,-94.87561863,29.24816419,,,2,27.96455263,POINT (-10561505.55458842 3407269.85206548),0.04
106,5457,-94.87550312,29.24935218,,,2,105.4006118,POINT (-10561492.696074039 3407421.4227725742),0.04
107,5458,-94.87597674,29.24879322,,,2,17.41494604,POINT (-10561545.419211267 3407350.1071698563),0.04
108,5459,-94.87474935,29.24966938,,,2,143.943313,POINT (-10561408.786781464 3407461.8933000597),0.04
109,5460,-94.87406948,29.24996609,,,2,154.9559954,POINT (-10561333.103999257 3407499.7496879436),0.04
110,5461,-94.87336281,29.25025381,,,2,159.61812,POINT (-10561254.437854698 3407536.459172058),0.04
111,5462,-94.87264114,29.25053896,,,2,194.2274185,POINT (-10561174.101917777 3407572.8408580795),0.04
112,5463,-94.87162477,29.25095218,,,2,164.6352649,POINT (-10561060.96012692 3407625.562904756),0.04
113,5464,-94.87116799,29.25115936,,,2,83.60041924,POINT (-10561010.111609915 3407651.996733588),0.04
114,5465,-94.87018891,29.25154695,,,2,141.9033584,POINT (-10560901.12092287 3407701.4489852525),0.04
115,5684,-94.86641685,29.25305673,,,2,125.7252298,POINT (-10560481.217124427 3407894.082213393),0.04
116,5696,-94.86687151,29.25288882,,,2,100.1319541,POINT (-10560531.82964411 3407872.6583917257),0.04
117,5697,-94.86731293,29.25271303,,,2,96.47873531,POINT (-10560580.968293738 3407850.2291898676),0.04
118,5699,-94.86821137,29.25233772,,,2,100.8502152,POINT (-10560680.982177045 3407802.34318341),0.04
119,5700,-94.86863728,29.25216818,,,2,102.8059779,POINT (-10560728.39426137 3407780.711540464),0.04
120,5701,-94.86913133,29.25196902,,,2,108.3582374,POINT (-10560783.391655797 3407755.3007215066),0.04
121,5837,-94.83729888,29.27713391,,,2,58.03772335,POINT (-10557239.819531094 3410966.480300858),0.04
122,6047,-94.83922074,29.27633568,,,2,116.9752234,POINT (-10557453.76000767 3410864.609584921),0.04
123,6049,-94.84021766,29.27592439,,,2,69.65304523,POINT (-10557564.73663443 3410812.120754856),0.04
124,6051,-94.84097433,29.27562106,,,2,117.0541826,POINT (-10557648.96875353 3410773.4099153983),0.04
125,6086,-94.84147282,29.27541877,,,2,105.4144926,POINT (-10557704.460406497 3410747.5938195856),0.04
126,6087,-94.84191759,29.27522528,,,2,107.8034713,POINT (-10557753.971976414 3410722.900820886),0.04
127,6088,-94.84243749,29.275027,,,2,121.9951537,POINT (-10557811.846979678 3410697.5965757146),0.04
128,6089,-94.84300933,29.27480824,,,2,94.38823629,POINT (-10557875.503917294 3410669.678755561),0.04
129,6090,-94.84328214,29.27469387,,,2,74.93778268,POINT (-10557905.872987578 3410655.083053023),0.04
130,6091,-94.84367989,29.27453295,,,2,62.92661423,POINT (-10557950.15031504 3410634.5467472686),0.04
131,6092,-94.84384523,29.27446533,,,2,44.7076039,POINT (-10557968.555879649 3410625.9172205296),0.04
132,6093,-94.84407995,29.27436894,,,2,51.94362935,POINT (-10557994.684790526 3410613.616134831),0.04
133,6095,-94.84440618,29.27423442,,,2,44.4546781,POINT (-10558031.000548007 3410596.4489994566),0.04
134,6158,-94.84505418,29.27396102,,,2,69.79211582,POINT (-10558103.135578044 3410561.5583850835),0.04
135,6164,-94.84784047,29.27284075,,,2,81.2463466,POINT (-10558413.303962044 3410418.5933445473),0.04
136,6165,-94.8485926,29.27251801,,,2,58.33325742,POINT (-10558497.030690657 3410377.4066560864),0.04
137,6168,-94.84839148,29.27203361,,,2,17.56196212,POINT (-10558474.642114667 3410315.5898589124),0.04
138,6169,-94.84813495,29.27155931,,,2,15.44960517,POINT (-10558446.085325696 3410255.062258986),0.04
139,6170,-94.8481229,29.27141703,,,2,8.488773923,POINT (-10558444.743925832 3410236.905309915),0.04
140,6171,-94.84825759,29.27131033,,,2,41.71543057,POINT (-10558459.737548044 3410223.288890837),0.04
141,6172,-94.84886922,29.27105137,,,2,68.50310725,POINT (-10558527.823888198 3410190.2420156966),0.04
142,6173,-94.84948346,29.27077272,,,2,49.14503147,POINT (-10558596.200772224 3410154.6825179243),0.04
143,6174,-94.84922051,29.27035008,,,2,25.54748453,POINT (-10558566.92931212 3410100.748139363),0.04
144,6332,-94.85206228,29.26416446,,,2,94.71978075,POINT (-10558883.273701472 3409311.407829808),0.04
145,6691,-94.87495306,29.24699099,,,2,13.77707537,POINT (-10561431.463674933 3407120.1700801584),0.04
146,6693,-94.87462409,29.24640604,,,2,16.1939176,POINT (-10561394.842902046 3407045.5402428857),0.04
147,6945,-94.88702215,29.24083781,,,2,102.2115152,POINT (-10562774.98862807 3406335.148576419),0.04
148,6947,-94.88773706,29.24054072,,,2,121.0211748,POINT (-10562854.572045233 3406297.2470866484),0.04
149,6948,-94.88843971,29.24025538,,,2,158.7665022,POINT (-10562932.79068544 3406260.844715921),0.04
150,6949,-94.88915777,29.23996735,,,2,160.3565506,POINT (-10563012.724758998 3406224.0992702353),0.04
151,6950,-94.88987463,29.23967266,,,2,159.6770811,POINT (-10563092.525249168 3406186.5042816442),0.04
152,6951,-94.89006985,29.23928489,,,2,89.91213736,POINT (-10563114.257040162 3406137.0348048224),0.04
153,6952,-94.8905866,29.23938251,,,2,158.6661996,POINT (-10563171.78138703 3406149.488587947),0.04
154,6955,-94.8912944,29.23908591,,,2,158.0817819,POINT (-10563250.573322613 3406111.650148239),0.04
155,6957,-94.89200113,29.23879836,,,2,148.4988737,POINT (-10563329.24614634 3406074.9663576433),0.04
156,6959,-94.89262321,29.23854462,,,2,140.8525989,POINT (-10563398.495775172 3406042.595916284),0.04
157,6960,-94.89261185,29.23825332,,,2,91.74831125,POINT (-10563397.231185757 3406005.433921867),0.04
158,6961,-94.8932615,29.2382774,,,2,139.3215136,POINT (-10563469.54989295 3406008.505874005),0.04
159,6964,-94.89386988,29.2380316,,,2,133.1580966,POINT (-10563537.274444759 3405977.148522783),0.04
