,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_Pole_VS,Pf_Pole_S,Pf_Pole_M
14784,15138,-94.81801282,29.28323614,3,45,1,25.43004379,POINT (-10555092.905152487 3411745.277800422),0.01625747,0.018962224,0.033575672
14785,15139,-94.81778527,29.28329413,3,45,1,24.17548866,POINT (-10555067.574402357 3411752.6790010347),0.016082143,0.018757632,0.033151969
14786,15140,-94.81874069,29.28304205,3,45,1,30.27961842,POINT (-10555173.93127025 3411720.506335433),0.015576211,0.018145808,0.03185793
14787,15141,-94.81893415,29.28298609,3,45,1,28.52215298,POINT (-10555195.467138939 3411713.364239064),0.016562448,0.019303875,0.034360424
14788,15142,-94.81925131,29.2829017,3,45,1,29.04109781,POINT (-10555230.773228638 3411702.593669037),0.016636999,0.019390916,0.03454171
14789,15143,-94.81945407,29.28284736,3,45,1,26.61483227,POINT (-10555253.344368592 3411695.658340468),0.016291427,0.018987616,0.033702612
14790,15144,-94.81972781,29.28278178,3,45,1,25.39167631,POINT (-10555283.816966003 3411687.288473324),0.014665926,0.017078488,0.029638192
14791,15145,-94.81724768,29.28343457,3,45,1,24.63236743,POINT (-10555007.730157299 3411770.603222854),0.015741045,0.018331472,0.03217699
14792,15146,-94.81699721,29.2834989,3,45,1,32.91581892,POINT (-10554979.847964441 3411778.8136069705),0.016911054,0.019695919,0.034993115
14793,15147,-94.81665838,29.2835818,3,45,1,41.48316632,POINT (-10554942.129581377 3411789.394072283),0.01821709,0.021224778,0.038177292
14794,15148,-94.81668589,29.28353002,3,45,1,1.555578144,POINT (-10554945.191980567 3411782.7854284067),0.012906349,0.015045757,0.025516117
14795,15149,-94.8163382,29.28380051,3,45,1,15.97333881,POINT (-10554906.487306815 3411817.3079080405),0.014895129,0.017336039,0.029612658
14796,15150,-94.81610357,29.28373036,3,45,1,22.94756152,POINT (-10554880.368414687 3411808.354696015),0.015817752,0.018407348,0.031762314
14797,15151,-94.81587156,29.28379342,3,45,1,12.95952672,POINT (-10554854.54117963 3411816.403014343),0.014513978,0.01689433,0.028731539
14798,15152,-94.81436309,29.2841978,3,45,1,17.98574596,POINT (-10554686.619067352 3411868.0139628174),0.014929389,0.017365065,0.029618287
14799,15153,-94.81448771,29.28415889,3,45,1,16.62805986,POINT (-10554700.491702294 3411863.04787746),0.014755811,0.017163867,0.029217574
14800,15154,-94.81466077,29.28411454,3,45,1,9.666201203,POINT (-10554719.756653372 3411857.38748692),0.013556388,0.015771409,0.026811105
14801,15155,-94.81440933,29.28412918,3,45,1,40.34105989,POINT (-10554691.766480606 3411859.2559898626),0.018115372,0.021076977,0.037113216
14802,15156,-94.81486092,29.2840116,3,45,1,25.22410807,POINT (-10554742.037249455 3411844.2492641006),0.015501113,0.018024072,0.031350565
14803,15157,-94.81416843,29.28475687,3,45,1,34.79840984,POINT (-10554664.949615274 3411939.368305304),0.017264453,0.020082058,0.035086957
14804,15158,-94.81388175,29.28481847,3,45,1,29.10591254,POINT (-10554633.036543652 3411947.2303634523),0.016433853,0.019113383,0.033125704
14805,15159,-94.81364733,29.28488103,3,45,1,25.8932243,POINT (-10554606.941028623 3411955.214952034),0.015921509,0.018550539,0.032556355
14806,15160,-94.81341818,29.28493833,3,45,1,26.27955,POINT (-10554581.432167307 3411962.5282064145),0.015602386,0.018144319,0.031323364
14807,15161,-94.81369667,29.28474357,3,45,1,42.01389743,POINT (-10554612.433532298 3411937.6708161),0.018380703,0.021387738,0.037748411
14808,15162,-94.81294449,29.28493759,4,40,1,48.53336244,POINT (-10554528.701237714 3411962.433759474),0.022424453,0.027009884,0.048017223
14809,15163,-94.81095661,29.2846483,4,40,1,54.27396135,POINT (-10554307.411448356 3411925.5114393583),0.031345722,0.03770525,0.065866964
14810,15164,-94.81060135,29.28473788,4,40,1,28.44665047,POINT (-10554267.864086054 3411936.9445971013),0.024474275,0.029540746,0.050529127
14811,15165,-94.81044732,29.28477818,4,40,1,8.603685176,POINT (-10554250.71754489 3411942.088117416),0.009710326,0.011311443,0.016202471
14812,15166,-94.80947983,29.28509674,4,40,1,5.078500182,POINT (-10554143.017050741 3411982.746249165),0.005710446,0.006878343,0.010951465
14813,15167,-94.80848642,29.28529672,4,40,1,11.69490006,POINT (-10554032.431155391 3412008.269961565),0.018560245,0.022433915,0.037035
14814,15168,-94.80795979,29.28586617,4,40,1,16.05603471,POINT (-10553973.806971956 3412080.949893354),0.0036713,0.004465013,0.007673222
14815,15169,-94.80781272,29.28590446,4,40,1,8.214853894,POINT (-10553957.435214445 3412085.8369297325),0.00343312,0.004190096,0.007140485
