FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
79,3,12TH,3312983.96968,13683094.6008,3313315.92539,13682116.6747,"3312983.96968,13683094.6008","3313315.92539,13682116.6747",58,55,59,56,1032.73144029,79,2360.38302181,79,3314911.11003,13681034.1052,719.444745048,-94.77985,29.30475
80,41,HARBORSIDE,3307647.18082,13683393.0281,3298433.7875,13679722.4846,"3307647.18082,13683393.0281","3298433.7875,13679722.4846",59,52,60,53,9999.19225759,94,8485.37461507,80,3308135.8785,13674678.1336,2586.34218267,-94.81155,29.30269
81,56,ROSENBERG,3307647.18082,13683393.0281,3308616.11786,13680524.2704,"3307647.18082,13683393.0281","3308616.11786,13680524.2704",59,53,60,54,3027.97123596,88,5418.60786429,81,3311386.1051,13677626.2332,1651.59167704,-94.79566,29.30347
82,47,IH 45,3283871.46951,13675797.1948,3272935.64565,13681991.4278,"3283871.46951,13675797.1948","3272935.64565,13681991.4278",60,61,61,62,12677.3746011,121,20557.4428263,82,3290478.86421,13662221.1765,6265.90857346,-94.88964,29.29761
83,47,IH 45,3272935.64565,13681991.4278,3271531.00338,13683916.5086,"3272935.64565,13681991.4278","3271531.00338,13683916.5086",61,64,62,65,2402.93900251,123,27129.9992088,83,3283780.85449,13658433.7838,8269.22375884,-94.90782,29.3099
84,47,IH 45,3271159.1826,13684118.9403,3283871.46951,13675797.1948,"3271159.1826,13684118.9403","3283871.46951,13675797.1948",62,60,63,61,15515.7362133,121,21803.7177287,84,3290345.26269,13662120.0799,6645.77316371,-94.89367,29.29931
85,60,SEAWALL,3315647.65563,13682906.6832,3316541.46224,13684249.1569,"3315647.65563,13682906.6832","3316541.46224,13684249.1569",56,66,57,67,1612.80067451,79,1037.80733622,85,3316867.99466,13682885.9241,316.32367608,-94.77051,29.30713
86,0,,3270675.46933,13684421.8718,3271159.1826,13684118.9403,"3270675.46933,13684421.8718","3271159.1826,13684118.9403",63,62,64,63,570.741632418,123,28861.7638837,86,3283780.85449,13658433.7838,8797.06563175,-94.91211,29.31345
87,0,,3271531.00338,13683916.5086,3270977.49956,13684443.2189,"3271531.00338,13683916.5086","3270977.49956,13684443.2189",64,158,65,159,764.061608493,123,28631.7378924,87,3283780.85449,13658433.7838,8726.9537096,-94.91106,29.31317
88,38,GULF,3269857.28232,13685091.4666,3270675.46933,13684421.8718,"3269857.28232,13685091.4666","3270675.46933,13684421.8718",65,63,66,64,1057.25454289,123,29589.4479112,88,3283780.85449,13658433.7838,9018.86372333,-94.9141,29.31485
89,60,SEAWALL,3316541.46224,13684249.1569,3317315.94002,13685412.7573,"3316541.46224,13684249.1569","3317315.94002,13685412.7573",66,76,67,77,1397.7775652,79,1473.26506336,89,3317659.57028,13683551.9439,449.051191312,-94.76775,29.31049
90,0,,3269857.28232,13685091.4666,3269248.76024,13685736.2035,"3269857.28232,13685091.4666","3269248.76024,13685736.2035",65,67,66,68,886.55783098,123,30501.7114482,90,3283780.85449,13658433.7838,9296.92164941,-94.91626,29.31672
91,47,IH 45,3269248.76024,13685736.2035,3271159.1826,13684118.9403,"3269248.76024,13685736.2035","3271159.1826,13684118.9403",67,62,68,63,2503.04889174,123,29769.9942984,91,3283780.85449,13658433.7838,9073.89426215,-94.91427,29.31532
92,41,HARBORSIDE,3315990.49615,13686207.1806,3307647.18082,13683393.0281,"3315990.49615,13686207.1806","3307647.18082,13683393.0281",68,59,69,60,8879.44977214,79,4817.78290863,92,3315284.31005,13681437.8909,1468.46023055,-94.78367,29.31096
93,33,FERRY,3316541.46224,13684249.1569,3315990.49615,13686207.1806,"3316541.46224,13684249.1569","3315990.49615,13686207.1806",66,68,67,69,2041.96739636,79,2176.32933869,93,3317659.57028,13683551.9439,663.345182433,-94.76976,29.31165
94,72,WATER,3316434.65701,13686536.6684,3315990.49615,13686207.1806,"3316434.65701,13686536.6684","3315990.49615,13686207.1806",69,68,70,69,625.354465044,79,3170.93222906,94,3317659.57028,13683551.9439,966.500143417,-94.76984,29.31479
95,47,IH 45,3267185.40741,13687462.3155,3267369.79724,13687308.0629,"3267185.40741,13687462.3155","3267369.79724,13687308.0629",70,71,71,72,240.402725161,125,33303.3452734,95,3283204.5237,13658137.1811,10150.8596393,-94.92318,29.32236
