OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
8038,-95.04726741,29.13732713,three,60,1,Very Stiff,0,15.47800543,0.86466074,9.8377255,11.801113,0.44742051,0.38682666,192.27027,29.912512,2.7825053
8039,-95.0475987,29.13708458,three,60,1,Very Stiff,0,14.04437155,0.71316446,6.6292708,11.844118,0.52701312,0.42298484,128.71643,29.326148,2.8155567
8040,-95.04750675,29.13697648,three,60,1,Very Stiff,0,9.058089878,0.71316446,6.6292708,11.844118,0.52701312,0.42298484,128.71643,29.326148,2.8155567
8041,-95.04775686,29.13727646,three,60,1,Very Stiff,0,14.36217932,0.71316446,6.6292708,11.844118,0.52701312,0.42298484,128.71643,29.326148,2.8155567
8042,-95.04785434,29.13740462,three,60,1,Very Stiff,0,20.62105965,1.0538467,14.59488,11.756974,0.48661446,0.34632453,332.69978,30.954728,2.7390108
8043,-95.04829087,29.13715644,three,60,1,Very Stiff,0,0,0.65899773,6.0556606,11.800055,0.37066284,0.38256375,115.40355,29.619402,2.7874089
8044,-95.04812345,29.13778142,three,60,1,Very Stiff,0,32.08964772,1.0538467,14.59488,11.756974,0.48661446,0.34632453,332.69978,30.954728,2.7390108
8045,-95.04776597,29.13804434,three,60,1,Very Stiff,0,43.67628399,0.86466074,9.8377255,11.801113,0.44742051,0.38682666,192.27027,29.912512,2.7825053
8046,-95.04738275,29.13829538,five,25,1,Very Stiff,0,52.06519776,1.2626384,20.680315,10.010025,0.56381802,0.34327344,337.05863,31.221516,2.7461481
8047,-95.04842515,29.13815573,three,60,1,Very Stiff,0,40.73912268,1.0538467,14.59488,11.756974,0.48661446,0.34632453,332.69978,30.954728,2.7390108
8048,-95.04884868,29.13867996,five,25,1,Very Stiff,0,44.52743204,1.4057361,26.196537,2.4172851,0.6138175,0.24088279,338.03469,32.644421,2.696599
8049,-95.0494335,29.13943936,five,25,1,Very Stiff,0,40.54090086,1.5670888,37.861675,2.4004692,0.6605584,0.25592078,337.75807,32.638093,2.6829792
8050,-95.04908846,29.13899669,five,25,1,Very Stiff,0,32.87043913,1.4057361,26.196537,2.4172851,0.6138175,0.24088279,338.03469,32.644421,2.696599
8051,-95.04968106,29.13976894,five,25,1,Very Stiff,0,33.40477659,1.5670888,37.861675,2.4004692,0.6605584,0.25592078,337.75807,32.638093,2.6829792
8052,-95.05002806,29.14018619,five,25,1,Very Stiff,0,53.81902418,1.7126571,90.900923,2.3959732,0.69608455,0.24550631,338.41109,32.640529,2.6660921
8053,-95.05050421,29.14080463,five,25,1,Very Stiff,0,46.23866102,1.7126571,90.900923,2.3959732,0.69608455,0.24550631,338.41109,32.640529,2.6660921
8054,-95.05085083,29.14124337,five,25,1,Very Stiff,0,35.55463253,1.6166534,91,2.3075878,0.66524188,0.28031271,337.13132,32.628085,2.6422896
8055,-95.04816155,29.13857023,five,25,1,Very Stiff,0,31.09498778,1.5267295,32.058852,2.3895472,0.64670705,0.28563068,336.57495,32.642229,2.7169621
8056,-95.04831909,29.13877364,five,25,1,Very Stiff,0,18.45140423,1.5267295,32.058852,2.3895472,0.64670705,0.28563068,336.57495,32.642229,2.7169621
8057,-95.04848993,29.13898601,five,25,1,Very Stiff,0,22.45182603,1.5267295,32.058852,2.3895472,0.64670705,0.28563068,336.57495,32.642229,2.7169621
8058,-95.04871886,29.13925983,five,25,1,Very Stiff,0,30.1667373,1.7245691,90.211179,2.4056686,0.70149057,0.28180465,337.10568,32.635912,2.7040005
8059,-95.0490271,29.13963707,five,25,1,Very Stiff,0,35.07603276,1.5670888,37.861675,2.4004692,0.6605584,0.25592078,337.75807,32.638093,2.6829792
8060,-95.04934316,29.14004625,five,25,1,Very Stiff,0,29.28935698,1.5670888,37.861675,2.4004692,0.6605584,0.25592078,337.75807,32.638093,2.6829792
8061,-95.04954813,29.14032039,five,25,1,Very Stiff,0,23.42528232,1.5670888,37.861675,2.4004692,0.6605584,0.25592078,337.75807,32.638093,2.6829792
8062,-95.04976008,29.14057174,five,25,1,Very Stiff,0,23.77435095,1.5670888,37.861675,2.4004692,0.6605584,0.25592078,337.75807,32.638093,2.6829792
8063,-95.04997129,29.14085119,five,25,1,Very Stiff,0,23.97595479,1.7126571,90.900923,2.3959732,0.69608455,0.24550631,338.41109,32.640529,2.6660921
8064,-95.0501867,29.1411204,five,25,1,Very Stiff,0,24.14721162,1.6166534,91,2.3075878,0.66524188,0.28031271,337.13132,32.628085,2.6422896
8065,-95.05040108,29.14139196,five,25,1,Very Stiff,0,12.04575989,1.6166534,91,2.3075878,0.66524188,0.28031271,337.13132,32.628085,2.6422896
8066,-95.05052477,29.14167805,five,25,1,Very Stiff,0,38.59007266,1.6166534,91,2.3075878,0.66524188,0.28031271,337.13132,32.628085,2.6422896
8067,-95.05302466,29.14472471,five,25,1,Very Stiff,0,46.4328079,1.7807399,44.87655,4.1573896,0.81393426,0.46233371,322.6528,33.620762,2.5239096
8068,-95.05285964,29.14466456,five,25,1,Very Stiff,0,9.219556458,1.589213,35.845345,4.1464233,0.72494804,0.39364329,323.41438,32.838099,2.544245
8069,-95.05334198,29.14452184,five,25,1,Very Stiff,0,52.96834245,1.4406553,30.946984,4.1340092,0.6566169,0.35215119,324.17405,32.61553,2.5491786
8070,-95.05315753,29.14448293,five,25,1,Very Stiff,0,10.30213775,1.4406553,30.946984,4.1340092,0.6566169,0.35215119,324.17405,32.61553,2.5491786
8071,-95.05378764,29.14426817,five,25,1,Very Stiff,0,49.98341079,1.4406553,30.946984,4.1340092,0.6566169,0.35215119,324.17405,32.61553,2.5491786
8072,-95.05363477,29.14419769,five,25,1,Very Stiff,0,8.543374096,1.4406553,30.946984,4.1340092,0.6566169,0.35215119,324.17405,32.61553,2.5491786
8073,-95.0540831,29.14409134,five,25,1,Very Stiff,0,43.84629465,1.5836929,36.890404,4.1381708,0.73310772,0.4157407,323.37639,33.200919,2.5299208
8074,-95.05394056,29.14403221,five,25,1,Very Stiff,0,7.965116913,1.5836929,36.890404,4.1381708,0.73310772,0.4157407,323.37639,33.200919,2.5299208
8075,-95.05442926,29.14387853,five,25,1,Very Stiff,0,49.07239972,1.5836929,36.890404,4.1381708,0.73310772,0.4157407,323.37639,33.200919,2.5299208
8076,-95.05477511,29.14367293,five,25,1,Very Stiff,0,34.69293989,1.5724483,34.784964,4.1140079,0.69078243,0.32953448,328.24999,32.624624,2.5550481
8077,-95.05424349,29.14386146,five,25,1,Very Stiff,0,10.37424287,1.5836929,36.890404,4.1381708,0.73310772,0.4157407,323.37639,33.200919,2.5299208
8078,-95.054557,29.14365683,five,25,1,Very Stiff,0,12.17956873,1.5724483,34.784964,4.1140079,0.69078243,0.32953448,328.24999,32.624624,2.5550481
8079,-95.05471883,29.14358206,five,25,1,Very Stiff,0,18.49867741,1.5724483,34.784964,4.1140079,0.69078243,0.32953448,328.24999,32.624624,2.5550481
8080,-95.05499262,29.14337072,five,25,1,Very Stiff,0,15.32460799,1.8093103,45.188852,4.1083686,0.83385346,0.49484667,324.71742,33.898872,2.5135904
