"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","haz_expose"
"72669e96-d3c6-43fd-8e55-d0098a1c215a","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"6b2a01a6-c7f3-4711-8d99-c9096db56908","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"7ac7ef90-fadb-443c-9519-6f8aa635b92c","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"2919825f-f809-4730-bfff-05bf1e285429","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"5989bca0-5486-4db4-ab41-285e36cd50ab","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"a8161c7a-2293-4f77-8e15-c20750c4546a","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"1d6ba013-a95a-44f5-b1ac-fef678f0dde0","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"e2a57535-10fe-4ab3-89c8-b9633e0c888f","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"051a8db8-69f3-467b-8d47-e9183b278dd8","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"b32f38f5-163f-4545-b4f1-525d437abeab","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"b1cf62b2-22c1-4c22-9d16-18291aae048e","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"10c80a11-2b9b-4b98-985e-34c71092ad86","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"32071059-3152-4d02-9736-55bbd616ea41","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"a56e2bba-cd72-4d06-8376-bebf27138641","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"d9f161d3-246e-4ee6-af08-6b51c51a61de","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"16bf9d74-43ba-40a4-8dcc-d3709f787f4b","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"eb610f9d-6fd6-446b-a36b-afc121ca5b15","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"9cdd3be1-0bce-4730-8933-7ca9216364ac","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"02c14770-0c38-46e1-a1cf-c311ac872564","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"50c15f06-5d93-4ade-b6fa-cbae1852a8ec","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"5f703281-d9bd-4435-b122-9ed529c8d703","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"f1ac1ee3-226b-475d-a343-89072d745147","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"3b7d5836-eaa1-4a4c-91f1-485f84534e6b","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"61f95312-dc17-4ceb-9c3d-646e5438b401","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"e356d99a-187b-45e3-ab57-a62baf81df4e","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"3661f386-c314-4f3b-8922-86cea741db88","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"53ab4893-a1a0-4188-8fbd-c9d01c3e9461","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"066a191c-80aa-4aad-8434-2342b4c0479d","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"39f98ffa-06af-49e5-a900-a97c60145d1b","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"1602ab65-0255-45ca-8c0d-021b8db03af8","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"630777d4-4d75-455f-abae-6ccca852233d","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"df6934dd-c964-4b38-ad28-c52b8a1e21a2","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"6c4f1248-494e-438f-bc1f-bdd4f63c2727","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"31939d33-ef15-4b21-8e50-705d06d35138","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"e45ddba6-d63f-4686-871c-6cc063ff98da","0.0","0.0","0.0","1.0","0","0","0.0","partial"
"d32e3337-cfe6-4097-98fd-f21637549997","0.935683874","0.0","0.0","0.064316126","0","0","0.935683874","yes"
"c01d4473-e529-424a-a75e-18ae05c25359","0.935683874","0.0","0.0","0.064316126","0","0","0.935683874","yes"
"4915caa3-6fc2-40df-a60b-94ba986bc833","0.9495291439","0.0","0.0","0.0504708561","0","0","0.9495291439","yes"
"1f526e21-76e4-4fb4-b5fa-72a00225a03b","0.9495291439","0.0","0.0","0.0504708561","0","0","0.9495291439","yes"
"bf66c441-87ad-4ac7-976e-815672b13a32","2e-10","0.0","0.0","0.9999999998","0","0","2E-10","yes"
"0e40b32f-cb58-40fd-accf-bd153fee1910","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"321079c6-3d28-4c3b-88e0-888852ab8d5d","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"79719e23-7649-4839-97f3-590132fef62e","0.9999999909","0.0","0.0","9.1E-9","0","0","0.9999999909","yes"
"ab2a2367-54bf-42e4-a662-b26e46f61672","0.9999999997","0.0","0.0","3E-10","0","0","0.9999999997","yes"
"bc283c8e-5716-4341-a822-e1c69b6d4540","0.9999999997","0.0","0.0","3E-10","0","0","0.9999999997","yes"
"f6415ca0-f299-4b7d-a5f1-68725e7fdb9d","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"af5afcd7-ffd2-46bc-b8d6-25a371146e18","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"a44bf723-5f13-4bfc-a085-1806c1b60b9c","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"e8719a7f-3982-4287-8ef0-fe894d26edf4","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"0cc9e727-ab72-4180-97b6-758c05df8e95","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"f06eb5e4-8286-4597-993f-bb7321665637","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"7f7da5de-bed3-4773-9c0b-aa69d67843b3","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"1a1510ed-81e1-490d-8c6e-94fcb76289f5","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"347e2252-f18e-4b07-9f56-5dccb7b7dcaf","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"45718bf6-3347-4893-a1b4-1326cdcac91b","1.66799e-05","0.0","0.0","0.9999833201","0","0","0.0000166799","yes"
"b1eabecd-60f4-4c34-bf14-a34739aa14c2","2.9053e-06","0.0","0.0","0.9999970947","0","0","0.0000029053","yes"
"3e5315ad-f28b-48e8-a0ed-dcd821004f26","3.9392e-06","0.0","0.0","0.9999960608","0","0","0.0000039392","yes"
"c1eb5dca-0230-46d0-87b3-d2a162361e7f","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"ae5002d3-a721-4b52-8426-96532f8b78b2","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"a380beed-bd7a-438d-b121-b32474382375","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"0996e432-1942-4e9f-aaa4-b70ebe50ab15","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"645db507-c232-41d7-91dd-3b40fce089fc","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"75982fb2-2f0e-43f2-a975-450a1851ce73","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"fa343d74-03ae-43e8-8399-74080fb55cc5","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"c82d9358-a1c9-446a-ad5a-4d78ee6ea130","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"d38608a0-2e69-4535-abb7-4f8ada1fd724","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"598f78b5-f3dd-4dd5-91a6-17a8adf8356d","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"67cd395d-f2ba-495a-8ba6-12a52d41187f","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"172e5c22-753f-4373-957f-0651f193682b","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"081a7ba7-5541-4f67-9cf0-b57576f81906","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"bbf0911c-d2d8-4bd6-a379-2d5df5969725","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"64b2b38a-2e43-44ce-8f2e-bde932b4fd46","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"c59d2205-26fa-4af0-8e3f-b7d2258837fb","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"f8aa22ec-c61c-4859-861a-367964792d33","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"6406f2e5-be30-4ea6-ab02-604e8cff51f0","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"00da5414-793d-4486-b305-97d04ff822e1","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"cc0a83c9-bc86-46b0-9750-78dc04bbefca","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"2e91eb4d-21d4-4dd6-94c2-6aed8cb41d37","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"ee329bbb-23f2-4349-b1fc-b240bf0b374d","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"576fdfa4-2abb-461d-ac4b-f955dc530913","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"23580ffc-d079-4c5e-b244-566652281855","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"87b841e1-3868-4f9e-9218-0f14dc65ca4a","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"9d8d013d-73dd-4414-ae17-ed5ca63bfc7e","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"9cda2bd2-41b0-4d0b-bda3-e12c3d1eba48","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"e5939117-6671-49a8-bc1d-fc813a51f3da","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"b744a392-5e7f-4f2a-a1ff-b3ac03711d68","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"9fdf7756-7924-430c-be58-f3ef91d31832","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"a6470bc6-f555-4230-9132-4b1db23e37d8","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"04982c47-efbb-4727-86e3-6a1c1c4043c8","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"c2b4f677-9c82-4afd-b482-77cdecd3abc0","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"eaaa9ac4-96c8-4f71-94b1-bf851b58b2f3","1.0","0.0","0.0","0.0","0","0","1.0","yes"
"d04bfb43-cdaa-4c05-a823-01562d4b9bdf","1.0","0.0","0.0","0.0","0","0","1.0","yes"
