,guid,geometry_x,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry_y,distance
2478,45a9c5c1-42a3-4f7c-ae34-cfaaf2c42472,POINT (-94.94122 29.20404),9525,-94.94124792,29.20361677,5,25,1,34.40361673,POINT (-94.94124792 29.20361677),5.105838767
2479,11d93570-bfda-43e8-89ad-38f4649eed3c,POINT (-94.94132 29.20421),9525,-94.94124792,29.20361677,5,25,1,34.40361673,POINT (-94.94124792 29.20361677),9.82456525
2480,b24fe908-85de-4ac5-b25f-c6088b9cf1ff,POINT (-94.94158 29.204),9529,-94.94160062,29.20267822,5,25,1,40.60925561,POINT (-94.94160062 29.20267822),12.86641045
2481,5a08cb1f-17ec-493f-b71c-f9c9936b2e3b,POINT (-94.94144 29.20382),9529,-94.94160062,29.20267822,5,25,1,40.60925561,POINT (-94.94160062 29.20267822),20.9424184
2482,07a47ad8-7163-465f-bb31-6e86fa6b2a8f,POINT (-94.94138 29.20358),9525,-94.94124792,29.20361677,5,25,1,34.40361673,POINT (-94.94124792 29.20361677),14.69084778
2483,de49675b-b361-4f9f-abc5-54d7d5cb41c3,POINT (-94.94173 29.20339),9529,-94.94160062,29.20267822,5,25,1,40.60925561,POINT (-94.94160062 29.20267822),15.92013177
2484,f2482fc0-cbbe-41f9-ad9f-ea1c2656fbc3,POINT (-94.94238 29.20404),9527,-94.94227031,29.20371845,5,25,1,32.61122674,POINT (-94.94227031 29.20371845),12.57993712
2485,daa20443-1438-45e0-b7b5-20effe3d8b1e,POINT (-94.94252 29.20418),9526,-94.94257789,29.20402188,5,25,1,17.23807323,POINT (-94.94257789 29.20402188),6.612912272
2486,6bb2b608-c2d9-4dd6-930b-3e99b5a6e440,POINT (-94.94267 29.20396),9526,-94.94257789,29.20402188,5,25,1,17.23807323,POINT (-94.94257789 29.20402188),10.25930734
2487,adf1734b-f7a4-4949-ad88-94e16690033d,POINT (-94.94254 29.20378),9526,-94.94257789,29.20402188,5,25,1,17.23807323,POINT (-94.94257789 29.20402188),4.808384294
2488,99d7f045-b7f4-4114-83b5-2071a1efc774,POINT (-94.94232 29.20351),9527,-94.94227031,29.20371845,5,25,1,32.61122674,POINT (-94.94227031 29.20371845),5.875052744
2489,83f264d7-6676-48f4-9633-6858b6a6466c,POINT (-94.94217 29.20334),9527,-94.94227031,29.20371845,5,25,1,32.61122674,POINT (-94.94227031 29.20371845),11.72835521
2490,17062a5e-9d35-44db-b331-4b7771162be1,POINT (-94.94218 29.20315),9527,-94.94227031,29.20371845,5,25,1,32.61122674,POINT (-94.94227031 29.20371845),11.42346731
2491,fe307cb4-337f-4a98-9263-4708e549e513,POINT (-94.94267 29.20297),9526,-94.94257789,29.20402188,5,25,1,17.23807323,POINT (-94.94257789 29.20402188),14.3685553
2492,80be2b44-9a1d-476d-a9f3-7874b7fc48cc,POINT (-94.94298 29.20351),5291,-94.94309209,29.20469537,5,25,1,49.85600108,POINT (-94.94309209 29.20469537),16.86218334
2493,080fe435-a584-4eb4-8598-e7f7adc8f8b3,POINT (-94.94316 29.20382),5291,-94.94309209,29.20469537,5,25,1,49.85600108,POINT (-94.94309209 29.20469537),11.28567216
2494,522cdefc-a36b-42fa-9d37-b75511e9c9a4,POINT (-94.94315 29.2042),5291,-94.94309209,29.20469537,5,25,1,49.85600108,POINT (-94.94309209 29.20469537),7.999490207
2495,dccf57be-350d-49d9-9d50-bf8b02338550,POINT (-94.94273 29.20458),5292,-94.9426359,29.20511127,5,25,1,48.50880282,POINT (-94.9426359 29.20511127),11.63571225
2496,e8530e96-e24c-4148-96bc-f403a644f5a1,POINT (-94.94246 29.20484),9526,-94.94257789,29.20402188,5,25,1,17.23807323,POINT (-94.94257789 29.20402188),15.27316191
2497,ca0639ee-674b-4a37-b9ff-a53abb3ee3bb,POINT (-94.94216 29.20507),5293,-94.94222579,29.20543642,5,25,1,47.00732619,POINT (-94.94222579 29.20543642),8.114044748
2498,ca82c021-8c98-4ecb-bd0f-3c4f70b73e54,POINT (-94.94182 29.20532),5294,-94.94179568,29.20570195,5,25,1,49.27443674,POINT (-94.94179568 29.20570195),4.549555148
2499,1fb888e2-eb79-4a08-bd2c-a31f969326d9,POINT (-94.94146 29.20553),5295,-94.9413446,29.20596849,5,25,1,51.52152792,POINT (-94.9413446 29.20596849),13.50171299
2500,b8b6f865-a62a-4b27-8a18-42879052e88f,POINT (-94.94126 29.2056),5295,-94.9413446,29.20596849,5,25,1,51.52152792,POINT (-94.9413446 29.20596849),10.04736053
