,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PR_VS,Pf_PR_SM,Pf_FF_VS,Pf_FF_S,Pf_FF_M,Pf_WoodPole_VS,Pf_WoodPole_S,Pf_WoodPole_M
9526,9745,-94.91014971,29.21970675,5,20,1,15.26966041,POINT (-10565349.536830561 3403639.611305492),0.03744185808693466,0.036415930490951855,0.03272921495828352,0.050336938942479856,0.1767148537919714,0.06894563042345336,0.08491980296377499,0.20669554845051608
9527,9746,-94.90997797,29.21978276,5,20,1,60.99116073,POINT (-10565330.418821212 3403649.306357511),0.049586181766855766,0.04834611344679886,0.05050048613885688,0.07915878090683517,0.24002968190317467,0.09758254162071678,0.12367787495160187,0.2767712931180836
9528,9747,-94.90829737,29.21995224,5,20,1,42.46495943,POINT (-10565143.335284986 3403670.9235050566),0.046172098586920216,0.04498940121039058,0.04431570582914266,0.069439600871449,0.22496820263342343,0.08844165527757075,0.11130495601834456,0.25983641911595856
9529,9748,-94.9090578,29.21998154,5,20,1,93.85840397,POINT (-10565227.98596537 3403674.6607191092),0.06540997450836998,0.06397870136898062,0.07439368064664832,0.11978383924634216,0.3333296796413577,0.13493756640033716,0.17609892613535116,0.3759823809791458
9530,9749,-94.90754404,29.22064149,5,20,1,6.665773477,POINT (-10565059.474972988 3403758.8376034745),0.04651753568656301,0.04540455619873022,0.03986437487527779,0.0632535319023068,0.24159535675202623,0.0845275180809576,0.10578608955701052,0.27603038299775684
9531,9750,-94.90742477,29.22069732,5,20,1,12.64213754,POINT (-10565046.197897319 3403765.958767008),0.03744358054368116,0.03640856023947913,0.03256127649232758,0.049843158401790086,0.17428681228179477,0.06878564625706318,0.08443700100607177,0.20434984061736539
9532,9751,-94.90762269,29.22107367,5,20,1,1.745573959,POINT (-10565068.230250936 3403813.9626278323),0.034086286890705225,0.03310926878316439,0.0285133062180402,0.043103590557840424,0.15343782537355072,0.06162768037279476,0.07478573097570584,0.18146687995491795
9533,9752,-94.90731781,29.22074009,5,20,1,40.14498151,POINT (-10565034.291164583 3403771.4141191654),0.04738680403782937,0.046199722107716085,0.04539385123276704,0.07154248146209762,0.2366683917521073,0.09062958573770696,0.11443696080736832,0.2719340999291959
9534,9753,-94.90670649,29.22104268,5,20,1,60.89582715,POINT (-10564966.239333473 3403810.0098122214),0.06903911534737402,0.06765250625816485,0.07126179179951937,0.11714523179384193,0.37275284731834,0.1353810560829859,0.17687256952495978,0.41518768924055216
9535,9754,-94.90622843,29.22131104,5,20,1,65.16161392,POINT (-10564913.021937704 3403844.239525878),0.07153126794900566,0.07012356253297808,0.07489242262409494,0.12345601738763132,0.38680062956196676,0.14106654062302626,0.18492240416525552,0.4298003539600611
9536,9755,-94.90554152,29.2218159,5,20,1,48.25688951,POINT (-10564836.555466283 3403908.6354062743),0.05342584070046045,0.05216898123936392,0.052775722480817716,0.08453835605302341,0.2773774381636373,0.1033819758391663,0.13229705738145048,0.31507592103521964
9537,9756,-94.90030502,29.22477615,5,20,1,1.697762739,POINT (-10564253.630952746 3404286.227470524),0.04482040695902169,0.04374032954827588,0.03814419569586393,0.05912116833351502,0.22372668059302545,0.08125496428067236,0.1002755184956039,0.2576811314034205
9538,9757,-94.89823949,29.2264731,5,20,1,8.098826083000002,POINT (-10564023.697204923 3404502.685344741),0.03408098121511464,0.03312626362561601,0.029377378474228263,0.0436814339872383,0.15084507170106554,0.06245714980541339,0.07536069491504815,0.1789744017148871
9539,9758,-94.89814927,29.2263013,5,20,1,5.104661463,POINT (-10564013.653960466 3404480.770886624),0.0332095676868749,0.032269965904271926,0.02832200942286736,0.04196367538990713,0.1455545471205274,0.060591015420785155,0.0728794749201287,0.17312747275200813
9540,9759,-94.89648616,29.22787861,5,20,1,10.17264184,POINT (-10563828.517402133 3404681.9707186273),0.04436021478199774,0.04325717926000995,0.03891426349955083,0.060322269205736176,0.21969244006183464,0.08154823319462523,0.10097007725334295,0.25344634406002076
9541,9760,-94.8950718,29.22951664,5,20,1,0.0,POINT (-10563671.071567133 3404890.919203716),0.030388116845766002,0.029466727471630066,0.025396221815785998,0.037526623527822656,0.12883506974941877,0.05501259530557301,0.06588756421102793,0.1545054493319542
9542,9761,-94.8937076,29.23010882,5,20,1,0.0,POINT (-10563519.209517794 3404966.4590054243),0.03001907360889833,0.029100399264514888,0.025018318088501957,0.03688490178477695,0.12568536097715519,0.05428636496513073,0.06491193568052245,0.1511282660555302
9543,9762,-94.89295135,29.23063819,5,20,1,0.0,POINT (-10563435.024152882 3405033.9869932607),0.03177054316138568,0.0308269927057867,0.026640103606005383,0.03976940239080732,0.13949282737674595,0.057564276205952725,0.06937042401917903,0.16601967571048015
9544,9763,-94.89310493,29.23086907,5,20,1,0.0,POINT (-10563452.12060028 3405063.438831697),0.030025522351162577,0.029109983413390637,0.02500720664799956,0.03679160510434557,0.12525248974529984,0.05428187455701261,0.06483058550339671,0.15071637525971893
9545,9764,-94.89220927,29.23102895,5,20,1,0.0,POINT (-10563352.416185154 3405083.833707452),0.03074308185173457,0.029816942014305986,0.025749647936761353,0.03815809406987377,0.13203278042477326,0.055701106254322785,0.06683727840592191,0.15791290868116614
9546,9765,-94.89240187,29.2313093,5,20,1,0.0,POINT (-10563373.856319081 3405119.596252549),0.03074308185173457,0.029816942014305986,0.025749647936761353,0.03815809406987377,0.13203278042477326,0.055701106254322785,0.06683727840592191,0.15791290868116614
9547,9766,-94.89168728,29.23180781,5,20,1,0.0,POINT (-10563294.308524154 3405183.1883844025),0.02970148330776406,0.028781302147733816,0.02464233414761848,0.03605011050397839,0.12035886242396666,0.05361190357903267,0.06379384352883799,0.14567607978611874
